,tweet
1,"Enquanto tratarem pessoas depressivas como dramáticas, ingratas e negativas, o suicídio entre elas continuará aumentando."
2,"Minha dor hoje é tão intensa, que acho que a alegria é uma doença e a tristeza é minha única saúde."
3,"É complicado depender de pessoas ou de algo para você se sentir bem. Porque pessoas são decepcionantes, e todas as coisas são temporárias..."
4,Pessoas mortas também costumam respirar
5,Uma clínica de reabilitação para mentes destruídas.
6,Viver se torna tão cansativo...
7,"Ter depressão é carregar a vida nas costas, aos trancos e barrancos como se fosse um fardo."
8,"Acredito que ainda há um pedacinho do universo que rege por mim, me impedindo de desistir da vida de vez."
9,O que mais te aflige no momento?
10,"Vocês que enfrentam esse tipo de problema relacionado à saúde mental, já procuraram ajuda ou tem auxílio de alguém?"
11,Alguma vez já pensaram ou tentaram cometer suicídio?
12,Qual idade vocês possuem?
13,"Eu quero fazer uma breve pesquisa aqui, pfv não ignorem... Quais desses problemas vocês enfrentam?"
14,"Eu machuco a mim mesmo todos os dias, com os próprios pensamentos que tenho sobre mim mesmo."
15,"Eu odeio meus traços, minha aparência física, minha personalidade, e cada detalhe que me compoe... E o que mais odeio é o fato de eu me odiar tanto."
16,"Essa vida de planejar meu futuro num dia, e meu suicídio no outro..."
17,"É um vazio imensurável, do tamanho do infinito"
20,"Não sejam o tipo de pessoa que sente prazer ou acha engraçado ficar apontando os ""defeitos"" das pessoas na cara delas. Se ela não se sente bem com alguma parte do corpo, é covardia zoar ou falar mal logo desse ponto fraco. Empatia por favor"
21,O que não me mata me faz querer estar morto
22,A vontade de cometer suicídio só aumenta a cada dia que passa
23,"Infelizmente depressão só é vista como doença quando a pessoa se suicida, antes disso é frescura"
24,"Jogar na cara de uma pessoa depressiva que ela só transmite energias ruins, que só vive pra baixo e cabisbaixa é apertar o gatilho para um suposto suicídio. Palavras também matam"
25,"Tudo isso e muito mais são sintomas de depressão, as pessoas falam o que guardam no coração, e infelizmente quando se trata de alguém que sofre depressão elas só faiarão coisas negativas. Ao invés de querer se afastar de alguém assim, mostre pra ela que a vida tem lados bons"
26,"Por favor parem de querer diminuir pessoas que vivem pra baixo, que não passam uma ""energia positiva"", que aparentam estar amarguradas e triste com a vida. Parem de dizer que são pessoas ""tóxicas"", de querer afasta-las da sua vida, porque as mesmas precisam de acolhimento e amor"
27,"Depressão tirando a vida de pessoas incríveis, que não tinham ciência do quanto eram especiais, do quanto tinham potencial, e do quanto faziam uma diferença enorme na vida das pessoas que conviviam com elas"
28,"Sentimentos destrutíveis e repetitivos, que vivem voltando pra tirar a minha paz"
29,"Depressão, ansiedade e síndrome do pânico andam de mãos dadas"
30,"Ansiedade é viver sofrendo por antecipação, é criar uma série problema e consequências antes mesmo de começar algo. É perder noites de sono por excesso de pensamentos, e desistir antes de ao menos tentar."
31,Estou preso num corpo vivo com uma alma em óbito.
32,"Está difícil, eu sei. Sei como é complicado viver meio que ""forçado"", não sentir prazer em nada, não conseguir enxergar o lado bom de nada. Mas continue tentando, você merece se dar todas as chances do mundo"
34,"Se há um lado bom na vida, eu não consigo ver..."
35,"A depressão me tornou uma pessoa negativa e amarga, e por conta disso tanta gente se afastou de mim, como se eu tivesse alguma culpa..."
36,"Não sinto vontade de fazer nada, além de ficar deitado o dia inteiro..."
38,Depressão é viver num corpo que luta pra sobreviver com uma mente que tenta morrer.
39,"Só queria ter pessoas fixas na minha vida, amigos que estejam dispostos a segurar minha mão em todas as vezes que eu estiver prestes a desabar..."
40,A cada dia viver tem sido um ato de coragem pra mim
41,Cicatrizes internas que me fazem lembrar de cada trecho da minha história conturbada
42,"O amor vai chegar. E quando ele chegar ele vai te abraçar, te curar, tornará seus dias mais fáceis, pois ele sabe que a vida já é difícil o suficiente..."
43,Minha saúde mental está em estado terminal.
45,Uma pessoa toda ferrada de saúde pode ser uma pessoa mais feliz do que outra que tem a saúde perfeita mas sente um vazio dentro de si
46,"Parem de uma vez por todas de querer comparar problemas, porque o tamanho deles não é relevante e sim como pode nos afetar"
47,Uma vida resumida em todos os dias lutar contra meus próprios sentimentos que me matam aos poucos
48,Incrivelmente assustador como uma saúde mental em estado ruim pode afetar até a saúde física
49,"Sua saúde mental fica comprometida pra sempre, e não há terapia que cure definitivamente essa doença crônica"
50,"A depressão é um buraco que te suga na sua primeira recaída, e te faz voltar a estaca zero de qualquer ilusão de melhora em segundos"
51,"Associo minha vida a dias frios e chuvosos como esses, são tristes e a única coisa que dá vontade de fazer é ficar deitado."
52,"Não sei mais o que é ouvir um silêncio absoluto, literalmente"
53,"Noite deixou de ser sinônimo de silêncio e paz em minha vida. É o momento em que escuto tudo, paranoias, pensamentos ruins e um ruído constante que não me sai da cabeça."
54,"Esse ano já está sendo completamente conturbado, medo do que há de vir."
55,"Não é necessariamente vontade de morrer, é de se livrar dessa dor toda."
56,Não transcender o que te fere
57,Tem dias que a vida é um ato de coragem
58,"Nao tem essa de ""amor não tem limites"", pois quando se passa a amar e priorizar alguém mais do que a si mesmo, você estará amando errado."
59,"Que 2019 seja um ano otimo, que você finalmente saia do óbito interno, se encontre no mundo e consiga lidar com as adversidades de um modo mais positivo. Que finalmente os ventos soprem ao seu favor, que você encontre a paz e amor que tanto procura. Parabéns por sobreviverem 2018"
60,"Sabe o que sinto agora? Não me sinto triste, não estou com raiva. Não me sinto bem ou mal. Eu não sinto nada."
61,Um amor sem reciprocidade é a morte mais cruel e dolorosa que se pode ter em vida.
62,O silêncio pode ser mais destruidor do que as próprias palavras. E como pode.
63,"O sol que faz lá fora me aquece a pele, me faz transpirar. Mas o coração continua no clima de inverno... frio, seco e nublado."
64,"O mundo gigante lá fora ainda te espera, crie coragem, bata essas asas e voe longe"
65,As luzes das estrelas ainda te trarão toda a luz que precisa na escuridão que é a sua vida
66,"Seu amigo precisa de você para dar conselhos, para o abraçar nos dias em que tudo estiver mal"
67,Sua mãe precisa de você para dar aquela bronca ou lição de moral
69,Você é especial demais para aceitar um amor de merda
70,"Pessoas vem e vão, e nessa ida e vinda nos deixa cheio de vãos."
71,"Verás que um filho teu foge da luta, e teme tudo menos a própria morte."
72,"Sou um ser cheio de nada, completamente vazio e repleto de vãos."
73,Vivendo a base de crises de ansiedade e existenciais
74,Nada mais destrutível do que achar que a própria morte seria a única solução para seus problemas. Esse é o auge da depressão.
75,Silêncios que estoram os tímpanos
76,O ruim das decepções é que elas vem de quem você menos espera.
77,"Quando as coisas ficam ruins esquecem todo o bem que você já fez, e condenam o pequeno erro"
78,"Uma atitude errada com alguém que se encontra em uma situação emocional ruim, pode ser fatal. Tenha empatia"
79,"Não importa o quão bem você tenha feito a alguém, as pessoas são horríveis ao ponto de te descartar na primeira brecha, e ainda colocar a culpa em você"
80,"Quantas pessoas terão que tirar suas próprias vidas todos os dias até entenderem que doença psicológica existe, e que ela deve ser levada a sério num nível elevado?"
81,"Classificam os sintomas da depressão como preguiça, falta de força de vontade, falta de Deus no coração, de pensamentos positivos, e até de sexo. Pois bem, essa ignorância perante uma doença tão séria esta matando pessoas todos os dias. Até quando?"
82,"Ando mais desanimado do que o normal. Cada dia que passa tudo está se tornando mais desgastante e cansativo, a ansiedade do dia acabar já desperta assim que levanto da cama. Não tenho mais vontade de fazer nada e de conversar com mais ninguém, apenas dormir."
83,"Você jurou que ficaria até o final, mas resolveu não pensar mais em mim"
84,"Tenho sérios problemas com minha autoestima, ver pessoas bonitas me deixam mal num nível absurdo. Me comparo a elas e percebo que tudo em mim parece ser defeito..."
86,Eu não aguento mais
87,vocês também escutam um chiado super forte vindo da cabeça de vocês?
88,"A depressão me tira o sono, a paz, o sorriso sincero. Me tira o prazer de acordar e não ter medo do que há de vir."
89,Viver é uma escolha diária. Não é algo que se acontece no automático.
90,Amar em tempos de ódio é um ato revolucionário
91,Ter um coração batendo e um pulmão funcionando não significa que está se vivendo. Viver é completamente diferente de estar vivo.
92,O amor tem um alto poder de curar e ferir. O use com consciência e sem moderação
93,Realmente eu não sei hahaha
94,"Seja a paz no meio do caos, seja doce quando tudo estiver amargo. Seja amor, ame."
97,"Viver em dor, o que ninguém entende. Tentar ser forte a todo e cada amanhecer..."
98,"Por trás dessa grosseria toda existe alguém com o coração destruído, triste e precisando de ajuda"
99,A presença de ninguém preenche o meu vazio existencial
101,A dor me obriga a escrever.
102,"Familia não te entende, amigos se afastam, o sol se pôs mais um dia, e no fim, você percebeu que só tem a si mesmo."
103,Como está o seu coração?
104,"É tão triste quando a depressão te destrói de um jeito, que te tira qualquer sensação de prazer.  Quando fazer o que se gosta não é mais tão legal assim, nada é."
105,"Tudo tem me desgastado de um jeito tão grande, que me sinto cansado até mesmo quando estou deitado."
106,Se pensamentos condenassem eu estaria à beira do abismo.
107,Atormentado pelos meus próprios pensamentos. Estou à beira da insanidade.
108,"Tem abraços que são como lares. E dos mesmos, me encontro desabrigado."
109,"Tudo que amei, amei sozinho."
110,O clima frio e nublado se fazia presente em sua vida nas quatro estações do ano.
111,"Anoiteceu, mas já faz tempo que a minha vida escureceu. Não sei ao certo como isso aconteceu, só sei que o culpado fui eu..."
112,"Eu morri há alguns anos, e o meu corpo só continua vagando por aí."
113,"Sinto que nasci apenas para prestigiar o sucesso das pessoas a minha volta, não para estar na posição delas."
114,"É um vazio imensurável, do tamanho do infinito."
115,Os dias são um desejo de morte
116,"Não sobrou nada aqui dentro além da dor, e da saudade."
