,Unnamed: 0,username,tweet,link
410,760,iwoman_,Eu tenho diagnóstico de depressão profunda desde os 8 anos mas minha mãe so deixou eu me tratar depois que fiz 18 anos,https://twitter.com/iwoman_/status/864283177506004992
411,792,camilaantonioli,Eu tenho diagnóstico de depressão desde os 11 anos. Passei minha adolescência e quase toda minha vida convivendo com essa doença. (...),https://twitter.com/CamilaAntonioli/status/851036422677168128
412,822,idiesad,eu tenho diagnóstico de depressão e mano ontem e hj ta sendo um dia q parece q eu não tenho isso e eu sei q isso ja aconteceu e era mentira,https://twitter.com/idiesad/status/826610271397539840
413,926,mothclaws,"@Kylomein eu tenho diagnostico de depressao profunda desde os 11, msm assim nao desisti ela vai passar, mas pra isso voce tem que tentar",https://twitter.com/mothclaws/status/715652728337383424
414,1027,soledyva,"Momento Real: Olá, sou Soledad Cifuentes e faz um bom tempo que tenho diagnóstico de depressão, causada por estress pós-traumático (+)",https://twitter.com/SoleDYVA/status/627465765206233088
415,1101,lachnoise,"como assim eu tenho diagnóstico de depressão e não sabia, que absurdo",https://twitter.com/lachnoise/status/537284067465895936
416,1206,bicicreta,"@SeuAssis @Jota_Bosco então, TPM é meio que comum, mas como eu tenho diagnostico de depressão juntava tudo e ficava uma bosta. A oscilação",https://twitter.com/bicicreta/status/391654893951668225
417,1240,indercover,"#confissoesdamadrugada tenho diagnostico de depressao, mas nunca contei pra ngm so pra familia",https://twitter.com/indercover/status/365673742245969921
418,1309,anotherbecks,#100thingsaboutme 84. tenho diagnostico de depressão e ansiedade.,https://twitter.com/anotherbecks/status/220320750924599296
419,113,meifiori,"A 1a vez q recebi diagnóstico de depressão eu solene e arrogantemente ignorei. Não era possível, sabe? Minha vida só melhorava, eu trabalhava com coisas cada vez melhores, ganhando mais, tava namorando, viajando, mto mais saudável fisicamente, cheia de plans pro futuro... Pifei",https://twitter.com/meIfiori/status/1119529109770702848
