,username,tweet,link
208,px_domaschesky,"ele tem denúncia na polícia por tirar fotos das crianças e usou o diagnóstico de depressão pra justificar ""eu fui diagnosticado com depressão, aí...  http://recordtv.r7.com/domingo-espetacular/videos/conheca-o-velhinho-que-bombou-na-internet-ao-tentar-fazer-slime-em-casa-10022019 …",https://twitter.com/Px_Domaschesky/status/1094979453053292545
251,theseabells,"7. Só fui diagnosticada no ano retrasado, depois de alguns anos passando por 5 psis, 2 psiquiatras, um diagnóstico de depressão leve e um de TRANSTORNO DO PÂNICO.  Inclusive foi esse episódio depressivo que me fez ""acordar"" pros meus problemas psicológicos",https://twitter.com/theseabells/status/1084811048564215808
618,teamobangtans2,"Tá eu vou contar... Eu tenho 18 anos e sofro de depressão dsd de 12 anos de idade, porém, só fui diagnosticada c 15 anos.Além do diagnóstico de depressão,tbm tive um de tda(h). A partir daí comecei a tomar remédios de tarja preta,q me faziam muito mal, tanto psicologicamente qnt+",https://twitter.com/TeAmoBangtanS2/status/939320708378882049
1434,mateuszayit,"Em Fevereiro desse ano, fui diagnosticado com depressão. Hoje, ao final de Junho, não faço mais uso dos medicamentos a muitas semanas, me sinto um novo ser. EU ESTOU VENCENDO A DEPRESSÃO.",https://twitter.com/mateuszayit/status/1143127553286295552
1437,anaobicho,2016 eu fui diagnosticado com depressao k  https://twitter.com/juliatravaioli/status/1142592978726391808 …,https://twitter.com/anaobicho/status/1142981704317054977
1438,augustcoliveira,"Bem, eu tava no terceiro ano e  foi um dos piores anos da minha vida, em que eu fui diagnosticado com depressão, tomava ritalina e tive diversas crises devido ao estresse do vestibular  https://twitter.com/juliatravaioli/status/1142592978726391808 …",https://twitter.com/augustcoliveira/status/1142968668189581313
1443,aurumjjong,"- aos 12 anos fui diagnosticado com depressão profunda e minha mãe me levava pra igreja pois dizia que eu precisava de deus para me libertar. nada mudava, a não ser o desespero que crescia dentro de mim",https://twitter.com/aurumjjong/status/1142335629239422977
1445,abitofselflove,"Hj faz 3 anos que me formei, desde então eu: - tive várias reprovações em concursos e provas (entre metade de 2016 e 2017); - comecei a jogar lol - trabalhei na escola que fiz meu ensino médio; - fui diagnosticado com depressão e ansiedade; - tomei remédio controlado;",https://twitter.com/abitofselflove/status/1142052372161716225
1449,arthurlurais,"fui diagnosticado com depressão por um app, ok",https://twitter.com/arthurlurais/status/1141122482340061184
1452,radagasto,"Contei que tinha manipulado ela. Ela ficou arrasada, muito arrasada. Disse que precisava pensar. Não terminamos e ela me disse que ia segurar a barra comigo: eu fui diagnosticado com depressão grave e de longa data e posto em vigilância constante.",https://twitter.com/radagasto/status/1140675910443655168
1453,birivessa,"na época fui diagnosticado com depressão e ansiedade, tinha apenas 13 anos e precisava ter a sanidade mental que uma pessoa de 30 anos não possui",https://twitter.com/birivessa/status/1140408491242401792
1465,john_braganca,Nego nunca tomou um Reconter na vida e diz que tem depressão.  Até eu que fui diagnosticado com depressão por um psiquiatra às vezes duvido que tenho.  (Aí do nada vem uma baita crise de ansiedade que me dá vontade de arrancar pedaços da minha pele e eu começo a acreditar),https://twitter.com/john_braganca/status/1138078134648135685
1466,misimpatia_,"""tu me ajudou com tua energia, quando eu fui diagnosticado com depressão""",https://twitter.com/misimpatia_/status/1137914668012490754
1468,matteoqpace,"e eu fui diagnosticado com depressão moderada faz uns dias. e eu sei que eu nunca vou tentar suicídio, nem me matar. eu quero viver, eu gosto de viver, mas simplesmente queria viver uma vida mais interessante e tentar encontrar pessoas mais interessantes.",https://twitter.com/matteoqpace/status/1137589978144358400
1479,jhonymarques16,"É rapaz, fui diagnosticado com depressão. Belê",https://twitter.com/jhonymarques16/status/1136360584260280320
1490,wouldieformiles,"Desabafo: em maio eu comecei a me tratar pq fui diagnosticado com depressao. daí essa semana os remedios comecaram a fazer o efeito esperado, me deixando mais disposto e tal. Dai desde ontem ouvindo o She Is Coming fiquei fazendo umas reflexao +",https://twitter.com/wouldieformiles/status/1134667430888902656
1491,romulorafa,"pq há exatos 6 meses fui diagnosticado com depressão inicial e, há 2 meses, transtornos de ansiedade. Então, nestas coisas boas e coisas pensativas, sei que preciso aprender a lidar com altos e principalmente, com os baixos.",https://twitter.com/romulorafa/status/1134615994855559168
1495,swiftperfects,eu já fui diagnosticado com depressão e ansiedade então nem me choquei com esse teste  https://twitter.com/dazedmonkeys/status/1134220730680455170 …,https://twitter.com/swiftperfects/status/1134478130004017153
1499,heilramonf,Já fui diagnosticado com depressão e recentemente com TOC,https://twitter.com/heilRamonF/status/1134133066966929409
1506,ocottim,"Apesar de haver pessoal que o faça para se integrar ou ""ser fixe"", acredita que a ganza é algo que ajuda muita gente. Comecei a fumar ganza quando aos 12/13 anos não me quiseram dar anti-depressivos e passado 2 anos fui diagnosticado com depressão crônica",https://twitter.com/ocottim/status/1132539427367137282
1507,arthurpinh3iro,Eu te acompanhava no passado porque realmente gostava de parte do seu conteúdo. Deixei de seguir e há poucos dias voltei a segui-lo novamente.  Agora acabo de lembrar porque havia dado unfollow antes.  Em tempo: não sou gay nem jamais fui diagnosticado com depressão.,https://twitter.com/arthurpinh3iro/status/1132306941278117891
1508,elivieirajr,"Alguns viram isso e compararam a culpar deprimido pela depressão. Não gosto de me usar de exemplo, mas, como estamos na era da experiência pessoal: eu fui diagnosticado com depressão alguns anos atrás, só saí porque tomei responsabilidade pelo meu bem estar. Recomendação da TCC.  https://twitter.com/EliVieiraJr/status/1131711291004006401 …",https://twitter.com/EliVieiraJr/status/1132304108948525057
1514,marcelootto13,"Danilo cara eu me sinto assim, e fui diagnosticado com depressão, porém os remedios que estou tomando não ajudam, quem sabe tu me deu uma luz aí, valeu queridão, sou teu fã!",https://twitter.com/marcelootto13/status/1132042686121349121
1518,vinirocas,Eu que já fui diagnosticado com depressão sei o quão escroto é passar por essa escuridão na vida e ainda ter um imbecil que brinca com esse tipo de coisa #teamwhin Whindersson,https://twitter.com/vinirocas/status/1131682299177832448
